Category,Reviews,Installs,Type,Size,Price,Content Rating,Genres,Current Version,Rating > 80%
11,2,100.0,0,2.7,0.0,0,21,1,True
25,448,100000.0,0,26.0,0.0,0,86,6,True
17,16876,1000000.0,0,59.0,0.0,1,43,3,True
5,9952,500000.0,0,38.0,0.0,2,7,4,True
25,85387,1000000.0,0,5.4,0.0,0,86,2,True
25,182,10000.0,0,1.7,0.0,0,86,3,True
18,114,50000.0,0,69.0,0.0,0,61,1,True
11,463,10000.0,0,13.0,0.0,0,21,4,True
18,214,100000.0,0,46.0,0.0,1,30,1,True
25,68309,1000000.0,0,2.1,0.0,0,86,3,True
20,76480,1000000.0,0,20.0,0.0,3,81,4,True
19,34,10000.0,0,4.9,0.0,0,80,1,True
25,184,10000.0,0,1.3,0.0,0,86,2,True
24,136633,10000000.0,0,14.0,0.0,0,84,1,True
30,238459,10000000.0,0,35.0,0.0,0,94,3,True
21,181798,10000000.0,0,22.0,0.0,0,82,4,True
18,5481,500000.0,0,69.0,0.0,0,17,1,True
7,2556,100000.0,0,56.0,0.0,3,10,2,True
18,1771,10000.0,1,46.0,4.99,1,35,1,True
18,44,10000.0,0,45.0,0.0,0,30,2,True
25,32,10000.0,0,33.0,0.0,0,86,3,True
6,55110,1000000.0,0,4.3,0.0,0,9,2,True
26,36,1000.0,0,5.3,0.0,0,87,2,True
27,17415,1000000.0,0,4.1,0.0,0,88,3,True
8,54798,1000000.0,0,11.0,0.0,0,11,2,True
12,68270,1000000.0,0,66.0,0.0,0,22,5,True
13,7895,500000.0,0,3.3,0.0,0,23,3,True
6,42925,1000000.0,0,2.8,0.0,0,9,6,True
17,194969,10000000.0,0,30.0,0.0,2,34,1,True
25,26189,10000000.0,0,5.3,0.0,0,86,2,True
6,10,5000.0,0,3.1,0.0,0,9,1,True
16,209,50000.0,0,3.1,0.0,0,26,3,True
25,1250,50000.0,0,0.241,0.0,0,86,1,True
25,7935,1000000.0,0,21.0,0.0,0,86,2,True
8,206527,10000000.0,0,21.0,0.0,2,11,1,True
23,342909,10000000.0,0,6.0,0.0,0,36,4,True
17,10486018,500000000.0,0,24.0,0.0,0,30,1,True
26,11343,1000000.0,0,8.4,0.0,0,87,1,True
17,8118937,500000000.0,0,62.0,0.0,0,34,1,True
23,38,10000.0,0,2.6,0.0,0,36,1,True
14,4450,1000000.0,0,7.6,0.0,0,24,1,True
4,14,500.0,0,4.3,0.0,0,6,3,True
18,634,100000.0,0,1.8,0.0,0,11,1,True
3,341157,10000000.0,0,30.0,0.0,2,5,3,True
11,48445,5000000.0,0,10.0,0.0,0,21,2,True
9,3771,100000.0,1,53.0,2.99,3,17,4,True
13,28951,1000000.0,0,60.0,0.0,0,23,4,True
18,207294,10000000.0,0,21.0,0.0,2,11,1,True
16,18,1000.0,0,24.0,0.0,0,26,4,True
27,936,50000.0,1,5.4,2.99,0,88,2,True
17,515240,10000000.0,0,63.0,0.0,0,34,1,True
20,2349421,100000000.0,0,39.0,0.0,1,81,4,True
18,1506783,10000000.0,0,89.0,0.0,1,44,1,True
25,13479633,100000000.0,0,14.0,0.0,0,86,4,True
16,9,100.0,0,22.0,0.0,0,26,1,True
17,1692,10000.0,1,36.0,4.99,0,29,1,True
18,13,1000.0,0,1.3,0.0,0,17,1,True
11,159,1000.0,0,14.0,0.0,0,21,4,True
26,6271,500000.0,0,5.7,0.0,0,87,1,True
13,1,10.0,0,7.8,0.0,0,23,4,True
19,4027,100000.0,0,8.4,0.0,0,80,2,True
18,97,10000.0,0,2.6,0.0,0,17,3,True
18,2772,500000.0,0,35.0,0.0,1,35,1,True
17,118253,10000000.0,0,40.0,0.0,1,29,1,True
8,342918,10000000.0,0,8.1,0.0,0,11,2,True
18,62301,5000000.0,0,72.0,0.0,1,33,1,True
23,1879,100000.0,0,4.4,0.0,0,36,2,True
9,33387,1000000.0,0,20.0,0.0,1,17,3,True
17,27724094,1000000000.0,0,76.0,0.0,2,29,1,True
30,1236,100000.0,0,0.033,0.0,0,94,1,True
14,2427,500000.0,0,5.3,0.0,0,24,1,True
24,134,10000.0,0,5.3,0.0,0,84,6,True
18,108795,10000000.0,0,49.0,0.0,0,53,8,True
3,41608,1000000.0,0,49.0,0.0,0,5,1,True
11,625,10000.0,0,3.8,0.0,0,21,2,True
20,903,1000000.0,0,4.6,0.0,1,81,1,True
2,26834,1000000.0,0,57.0,0.0,0,4,1,True
22,44,100.0,0,2.8,0.0,0,83,1,True
17,38297,10000000.0,0,6.4,0.0,0,29,1,True
18,672089,50000000.0,0,73.0,0.0,0,62,6,True
18,31,10000.0,0,8.3,0.0,0,11,1,True
6,94,1000.0,1,1.1,2.49,0,9,2,True
4,2287,1000000.0,0,1.5,0.0,0,6,4,True
26,440,500000.0,0,0.92,0.0,0,87,1,True
12,32405,5000000.0,0,12.0,0.0,0,22,3,True
25,2803,100000.0,0,1.4,0.0,0,86,1,True
19,87,500.0,1,2.8,5.99,0,80,8,True
30,277,10000.0,0,6.8,0.0,0,94,1,True
18,84389,1000000.0,0,48.0,0.0,0,44,1,True
25,83,500.0,1,3.1,3.99,0,86,2,True
29,25243,100000.0,1,26.0,2.99,0,93,4,True
25,28,10000.0,0,2.5,0.0,0,86,1,True
25,134412,5000000.0,0,11.0,0.0,0,86,3,True
19,6,1000.0,0,26.0,0.0,0,80,1,True
20,309872,10000000.0,0,85.0,0.0,1,81,1,True
18,1014846,50000000.0,0,56.0,0.0,0,53,1,True
19,199,10000.0,1,1.8,11.99,0,80,3,True
30,3546,1000000.0,0,3.7,0.0,0,94,2,True
8,172505,5000000.0,0,76.0,0.0,0,13,5,True
19,18,1000.0,0,3.0,0.0,0,80,1,True
26,88,1000.0,0,4.2,0.0,0,87,7,True
31,174827,10000000.0,0,25.0,0.0,3,95,6,True
16,87,10000.0,0,3.9,0.0,0,26,1,True
18,12034,1000000.0,0,34.0,0.0,0,17,4,True
25,21979,1000000.0,0,0.982,0.0,0,86,2,True
17,183343,5000000.0,0,20.0,0.0,1,100,1,True
17,13304,1000000.0,0,1.3,0.0,0,29,1,True
23,361,50000.0,0,2.2,0.0,0,36,1,True
30,169965,10000000.0,0,14.0,0.0,1,94,1,True
25,61445,1000000.0,0,7.8,0.0,0,86,1,True
8,19277,1000000.0,0,5.3,0.0,0,11,3,True
21,9701,500000.0,0,14.0,0.0,0,82,2,True
22,847159,10000000.0,0,4.2,0.0,0,83,4,True
11,104,1000.0,0,2.3,0.0,0,21,2,True
17,191,5000.0,0,7.2,0.0,0,43,4,True
21,19212,500000.0,0,6.9,0.0,0,82,0,True
18,170,10000.0,0,4.1,0.0,0,11,7,True
18,54,1000.0,1,50.0,19.4,0,11,3,True
11,396,10000.0,0,12.0,0.0,0,21,3,True
23,101,10000.0,0,3.9,0.0,0,36,5,True
4,2555,100000.0,0,16.0,0.0,0,6,2,True
27,23089,10000000.0,0,1.6,0.0,0,88,1,True
25,514,50000.0,0,8.4,0.0,0,86,1,True
12,64784,10000000.0,0,13.0,0.0,0,22,1,True
18,4,100.0,0,2.0,0.0,0,17,1,True
18,834,100000.0,0,22.0,0.0,0,107,1,True
21,2278,500000.0,0,12.0,0.0,0,82,3,True
3,1877,100000.0,0,5.7,0.0,0,5,2,True
25,294,50000.0,0,3.0,0.0,0,86,2,True
18,944,100000.0,0,12.0,0.0,0,11,3,True
24,25740,1000000.0,0,51.0,0.0,0,84,4,True
18,419375,10000000.0,0,31.0,0.0,2,30,1,True
25,161,5000.0,1,1.2,0.99,0,86,1,True
17,1295625,100000000.0,0,11.0,0.0,0,35,4,True
26,69488,1000000.0,0,9.7,0.0,0,87,6,True
10,8800,1000000.0,0,24.0,0.0,0,20,1,True
10,464,100000.0,0,8.9,0.0,0,20,1,True
18,24936,5000000.0,0,38.0,0.0,0,50,3,True
17,1468,10000.0,1,4.9,4.99,1,41,0,True
25,26,500.0,0,3.8,0.0,0,86,1,True
20,9562,500000.0,0,5.8,0.0,1,81,4,True
18,9,1000.0,0,30.0,0.0,0,30,1,True
27,91397,1000000.0,0,14.0,0.0,0,88,3,True
23,1211,10000.0,0,15.0,0.0,0,36,1,True
26,18,500.0,1,2.1,2.0,0,87,1,True
11,83,5000.0,0,4.0,0.0,0,21,1,True
6,142,50000.0,0,2.5,0.0,0,9,1,True
21,44588,5000000.0,0,20.0,0.0,0,82,9,True
17,33788,1000000.0,0,27.0,0.0,0,38,1,True
4,25195,1000000.0,0,21.0,0.0,0,6,3,True
17,5476569,100000000.0,0,53.0,0.0,1,34,1,True
25,259,10000.0,0,0.203,0.0,0,86,1,True
18,7252,500000.0,0,9.2,0.0,0,11,3,True
22,62421,5000000.0,0,9.6,0.0,0,83,2,True
17,264755,10000000.0,0,91.0,0.0,1,34,2,True
16,5,1000.0,0,4.6,0.0,0,26,1,True
4,542,100000.0,0,30.0,0.0,0,6,1,True
27,30443,1000000.0,0,0.54,0.0,0,88,0,True
23,459,10000.0,0,8.0,0.0,2,36,3,True
18,30668,5000000.0,0,33.0,0.0,0,32,2,True
18,39,1000.0,0,20.0,0.0,0,11,1,True
1,6090,100000.0,0,27.0,0.0,0,3,1,True
18,55723,1000000.0,0,14.0,0.0,0,17,3,True
11,70782,1000000.0,0,50.0,0.0,0,21,2,True
15,332083,10000000.0,0,6.3,0.0,0,25,1,True
27,9,500.0,0,3.1,0.0,0,88,1,True
18,29319,5000000.0,0,26.0,0.0,0,54,2,True
18,21,5000.0,0,26.0,0.0,0,40,1,True
20,226,10000.0,0,15.0,0.0,2,81,1,True
27,58675,10000000.0,0,1.3,0.0,0,88,0,True
26,66473,1000000.0,0,3.0,0.0,0,87,3,True
18,525552,10000000.0,0,48.0,0.0,0,45,1,True
13,39068,500000.0,0,4.0,0.0,0,23,1,True
16,23966,1000000.0,1,0.872,5.99,0,26,2,True
23,232423,5000000.0,0,35.0,0.0,0,36,4,True
17,12,1000.0,0,98.0,0.0,3,34,1,True
31,311,5000.0,0,14.0,0.0,2,95,2,True
9,11656,1000000.0,0,4.5,0.0,0,17,1,True
19,2,100.0,0,20.0,0.0,2,80,1,True
18,301,10000.0,0,5.6,0.0,0,11,1,True
22,67,10000.0,0,15.0,0.0,0,83,1,True
17,140,50000.0,0,45.0,0.0,3,31,1,True
8,18372,100000.0,0,47.0,0.0,0,11,7,True
22,98716,5000000.0,0,59.0,0.0,0,83,5,True
25,9602,100000000.0,0,2.5,0.0,0,86,6,True
26,279,10000.0,0,1.1,0.0,0,87,1,True
24,71,10000.0,0,28.0,0.0,0,84,1,True
1,1981,100000.0,0,18.0,0.0,0,3,2,True
27,688,50000.0,0,4.4,0.0,0,88,2,True
16,251,10000.0,0,5.0,0.0,0,26,3,True
25,1186,50000.0,0,6.4,0.0,5,86,1,True
19,503,50000.0,0,22.0,0.0,0,80,3,True
17,58575,1000000.0,0,96.0,0.0,1,34,2,True
23,11151,1000000.0,0,52.0,0.0,0,36,2,True
0,85,100000.0,0,8.0,0.0,0,0,2,True
18,1364,100000.0,0,5.2,0.0,0,17,4,True
7,11633,500000.0,0,23.0,0.0,3,10,2,True
7,2506,500000.0,0,6.1,0.0,3,10,3,True
17,14563,1000000.0,0,74.0,0.0,2,41,0,True
18,6673,500000.0,0,4.4,0.0,0,35,1,True
16,66,1000.0,0,8.1,0.0,0,26,1,True
18,1018,100000.0,0,35.0,0.0,0,13,4,True
18,41,1000.0,0,4.0,0.0,0,11,1,True
26,4,100.0,0,9.2,0.0,1,87,1,True
4,4518,1000000.0,0,26.0,0.0,0,6,1,True
19,453,100000.0,0,11.0,0.0,0,80,1,True
1,47,1000.0,0,58.0,0.0,0,3,1,True
23,111809,10000000.0,0,40.0,0.0,0,36,1,True
6,20901,1000000.0,0,7.3,0.0,0,9,5,True
